prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
"Taylor swift glistening sexual naked body, hyper-sexualized, Photorealistic, Very detailed, maximum texture",outputs/txt2img-samples,False,False,50,False,0.0,2.0,512,512,4.0,8.0,5,0.0,7.5,cuda,,13,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Taylor swift glistening sexual naked body and orally sucking on an enlarged veiny horse penis, hyper-sexualized, Photorealistic, Very detailed, maximum texture, high quality porn image, comic style tonkato",outputs/txt2img-samples,False,False,50,False,0.0,2.0,512,512,4.0,8.0,5,0.0,7.5,cuda,,13,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
veni vidi vici,outputs/txt2img-samples,False,False,50,False,0.0,2.0,1024,1920,4.0,8.0,5,0.0,7.5,cuda,,13,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
veni vidi vici,outputs/txt2img-samples,False,False,50,False,0.0,2.0,512,1024,4.0,8.0,5,0.0,7.5,cuda,,13,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
veni vidi vici,outputs/txt2img-samples,False,False,50,False,0.0,2.0,512,512,4.0,8.0,5,0.0,7.5,cuda,,13,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Even when our party only consisted of seven men, it proclaimed two principles. First, it wanted to be a party with a world view. And second, it wanted sole power in Germany, without compromise. --H 512 --W 512 --seed 13 --n_iter 2 --ddim_steps 50",outputs/txt2img-samples,False,False,50,False,0.0,1.0,512,512,4.0,8.0,5,0.0,7.5,cuda,,573638,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"Even when our party only consisted of seven men, it proclaimed two principles. First, it wanted to be a party with a world view. And second, it wanted sole power in Germany, without compromise.",outputs/txt2img-samples,False,False,50,False,0.0,2.0,512,512,4.0,8.0,5,0.0,7.5,cuda,,13,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"(Futuristic sci-fi space world with multiple moons), intricate city design with futuristic transportation and hovercars, dusk, sun setting, high quality HDR, dynamic lighting",outputs/txt2img-samples,False,False,50,False,0.0,2.0,512,512,4.0,8.0,5,0.0,7.5,cuda,,13,1.0,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,749484,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,470236,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,187193,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,907060,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,826366,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,278626,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,249416,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,313880,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,960,1280,,,2,,,,,610334,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,5,,,,,324727,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,514167,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,758617,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,430314,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,874125,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,447512,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,691344,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,819762,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,784740,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,780572,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,738732,,,,,,
"lord of the rings battle scene, highly detailed realistic middle earth, ents orcs knights fighting in battle siege game of thrones rob stark, HDR lighting, birds-eye view",,,,50,,,,128,128,,,1,,,,,775809,,,,,,
